Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,Precio Bolsa Nacional ($/kWh) 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,Version,
2012-01-01,40.068906,37.837906,37.837906,37.837906,37.837906,36.108906,36.108906,36.108906,36.108906,36.108906,37.837906,37.836906,37.836906,37.836906,37.836906,37.837906,37.837906,37.837906,60.068906,79.568906,60.068906,60.068906,40.068906,37.837906,TX3,42.18111433333332
2012-01-02,36.007081,36.007081,36.007081,36.007081,36.007081,36.007081,37.628081,37.629081,48.860081,59.860081,59.860081,59.860081,59.860081,59.860081,59.860081,59.860081,59.860081,59.861081,79.360081,79.360081,79.360081,79.360081,59.860081,48.860081,TX3,54.37758100000001
2012-01-03,37.783199,37.783199,37.323199,37.323199,37.783199,37.783199,37.783199,39.052199,48.283199,54.283199,76.283199,76.283199,60.283199,76.283199,76.283199,76.283199,76.283199,76.283199,76.283199,84.783199,76.283199,76.283199,54.283199,39.052199,TX3,58.60061566666665
2012-01-04,36.394871,37.663871,36.394871,36.394871,36.394871,37.663871,37.663871,44.894871,49.889871,69.894871,69.894871,69.894871,69.894871,69.894871,69.894871,69.894871,69.894871,69.894871,73.894871,73.894871,73.894871,69.894871,49.889871,44.894871,TX3,57.03224599999999
2012-01-05,38.567784,38.567784,38.566784,38.566784,38.567784,38.567784,40.798784,41.798784,68.798784,68.798784,68.798784,68.798784,68.798784,68.798784,68.798784,68.798784,68.798784,68.798784,70.798784,70.798784,70.798784,68.798784,68.798784,41.798784,TX3,58.074284000000006
2012-01-06,39.244805,39.245805,39.244805,39.244805,39.244805,39.245805,39.245805,42.476805,45.476805,45.476805,66.476805,66.476805,50.476805,50.476805,66.476805,50.476805,50.476805,50.476805,66.476805,66.476805,66.476805,66.476805,45.476805,42.476805,TX3,50.57593000000001
2012-01-07,37.483243,39.396243,37.483243,37.483243,37.483243,39.395243,39.395243,39.396243,44.385243,63.385243,63.385243,63.385243,63.385243,63.385243,66.385243,44.385243,44.385243,63.385243,66.385243,66.385243,66.385243,66.385243,44.385243,39.396243,TX3,51.52878466666664
2012-01-08,39.475185,39.475185,39.474185,39.474185,39.474185,39.474185,37.562185,39.474185,39.475185,39.475185,44.464185,44.464185,44.464185,44.464185,44.464185,44.464185,44.464185,44.464185,63.464185,76.464185,71.464185,55.464185,55.464185,44.464185,TX3,46.47218500000002
2012-01-09,42.442407,42.442407,40.530407,40.530407,42.443407,42.442407,40.530407,42.443407,42.443407,47.432407,47.432407,63.432407,63.432407,47.432407,47.432407,47.432407,47.432407,47.432407,66.432407,79.432407,66.432407,64.432407,63.432407,42.443407,TX3,50.739407
2012-01-10,44.223381,44.223381,44.223381,44.223381,44.223381,46.212381,46.212381,46.212381,64.212381,64.212381,64.712381,64.712381,64.712381,64.712381,64.712381,64.712381,64.712381,64.712381,64.712381,65.212381,64.712381,64.712381,64.212381,46.212381,TX3,57.31883933333336
2012-01-11,43.478107,43.478107,43.479107,41.566107,43.478107,43.479107,44.468107,54.468107,62.468107,62.468107,62.468107,62.468107,62.468107,62.468107,62.468107,62.468107,62.468107,62.468107,63.468107,75.468107,63.468107,62.468107,62.468107,44.468107,TX3,56.43269033333333
2012-01-12,43.913908,43.913908,43.913908,43.924908,43.913908,43.923908,43.924908,50.913908,59.913908,59.913908,62.113908,62.113908,62.113908,62.113908,62.113908,62.113908,62.113908,62.113908,62.113908,79.413908,62.113908,62.113908,50.913908,43.924908,TX3,55.65319966666667
2012-01-13,41.182452,41.172452,41.172452,41.172452,41.183452,41.183452,41.183452,42.172452,55.172452,55.172452,55.172452,55.172452,55.172452,55.172452,55.172452,55.172452,55.172452,55.172452,58.172452,58.172452,58.172452,55.172452,55.172452,42.172452,TX3,50.382577000000005
2012-01-14,49.507261,49.507261,49.507261,49.507261,49.507261,49.507261,49.507261,49.507261,51.507261,52.507261,52.507261,52.507261,52.507261,52.507261,52.507261,52.507261,51.507261,52.507261,52.507261,56.507261,52.507261,52.507261,51.507261,49.507261,TX3,51.42392766666665
2012-01-15,40.225753,40.225753,39.175753,39.175753,38.780753,39.175753,38.780753,39.175753,40.225753,46.225753,46.225753,46.225753,46.225753,46.225753,46.225753,46.225753,46.225753,46.225753,51.225753,53.225753,53.225753,51.225753,46.225753,46.225753,TX3,44.68033633333331
2012-01-16,44.672542,44.672542,44.672542,44.672542,44.672542,45.067542,46.117542,46.117542,56.117542,56.117542,56.117542,57.117542,57.117542,56.117542,56.117542,56.117542,57.117542,56.117542,59.117542,59.117542,59.117542,56.117542,55.117542,46.117542,TX3,52.48108366666665
2012-01-17,42.300042,42.301042,42.301042,42.301042,42.301042,42.745042,42.745042,42.745042,49.245042,49.245042,49.745042,49.745042,49.745042,49.745042,49.745042,49.745042,52.745042,49.745042,184.745042,270.867042,184.745042,49.745042,49.245042,42.745042,TX3,67.55341700000001
