Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,Precio Bolsa Nacional ($/kWh) 2013,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,Version,
2013-01-01,168.39165,168.39165,170.55065,150.55165,147.01865,145.05165,145.05165,145.05165,145.05165,145.05165,145.05165,150.55165,150.55165,170.55065,150.55165,147.01865,145.05165,147.01865,170.55065,210.55165,210.55165,170.55065,168.55165,170.55065,TXF,159.90898333333328
2013-01-02,166.706942,166.706942,166.706942,166.706942,166.706942,196.006942,169.006942,169.006942,172.006942,172.006942,196.006942,210.006942,210.006942,210.006942,210.006942,210.006942,210.006942,196.006942,210.006942,210.006942,210.006942,210.006942,196.006942,172.006942,TXF,190.4861086666667
2013-01-03,168.401075,166.101075,166.101075,166.101075,166.101075,168.401075,168.401075,185.401075,185.401075,185.401075,190.401075,190.401075,190.401075,190.401075,190.401075,190.401075,190.401075,190.401075,193.401075,193.401075,192.401075,190.401075,185.401075,185.401075,TXF,182.89274166666655
2013-01-04,182.745122,180.245122,180.245122,180.245122,180.245122,182.745122,182.745122,182.745122,190.245122,190.245122,190.745122,190.745122,190.745122,190.745122,190.745122,190.745122,190.745122,190.245122,191.145122,191.145122,191.145122,190.745122,190.245122,190.245122,TXF,187.60762199999996
2013-01-05,175.601913,175.601913,175.235913,175.235913,175.361913,175.361913,175.235913,175.601913,175.601913,175.601913,180.401913,180.401913,180.401913,180.401913,180.401913,175.601913,175.601913,175.601913,185.401913,190.201913,185.401913,180.401913,175.601913,175.601913,TXF,178.16116300000007
2013-01-06,175.215376,175.215376,175.215376,163.056376,163.056376,163.056376,163.056376,176.715376,175.215376,175.215376,175.215376,175.215376,175.215376,175.215376,175.215376,175.215376,175.215376,175.215376,182.415376,182.415376,182.415376,176.715376,175.215376,175.215376,TXF,174.21387600000003
2013-01-07,176.201759,176.201759,169.401759,169.401759,169.401759,169.401759,162.510759,169.401759,176.201759,176.501759,176.501759,176.501759,176.501759,176.501759,176.501759,176.501759,176.501759,176.501759,179.701759,179.701759,179.701759,179.701759,176.501759,176.501759,TXF,174.93546733333326
2013-01-08,162.786445,160.677445,120.677445,162.786445,160.677445,162.786445,162.786445,169.677445,176.477445,185.677445,185.677445,185.677445,185.677445,185.677445,185.677445,185.677445,185.677445,185.677445,185.777445,185.777445,185.677445,185.677445,176.477445,169.677445,TXF,174.97894499999995
2013-01-09,40.415346,40.415346,40.415346,40.415346,73.924346,125.424346,123.924346,185.924346,188.124346,198.924346,198.924346,198.924346,188.124346,188.124346,188.124346,188.124346,188.124346,188.124346,198.924346,198.924346,188.924346,188.124346,166.033346,123.924346,TXF,152.0565543333333
2013-01-10,177.788882,173.888882,173.888882,173.888882,173.888882,177.788882,177.788882,177.788882,177.888882,177.888882,186.888882,186.888882,186.888882,186.888882,186.888882,186.888882,186.888882,184.888882,186.888882,186.888882,186.888882,186.888882,177.888882,177.788882,TXF,181.61804866666674
2013-01-11,176.403192,176.403192,176.403192,176.403192,176.403192,176.403192,176.403192,182.403192,182.403192,183.403192,183.403192,196.403192,195.403192,195.403192,195.403192,195.403192,183.403192,190.403192,196.403192,196.403192,196.403192,190.403192,190.403192,183.403192,TXF,186.31985866666653
2013-01-12,182.959462,182.959462,182.959462,182.959462,182.959462,182.959462,182.959462,182.959462,183.259462,183.259462,183.459462,183.459462,192.459462,183.459462,183.459462,183.459462,183.459462,183.459462,192.459462,195.459462,192.459462,183.459462,182.959462,182.959462,TXF,184.8594619999999
2013-01-13,187.247973,187.247973,187.247973,187.247973,187.247973,187.247973,186.647973,92.147973,186.647973,192.147973,192.147973,200.447973,200.447973,200.447973,192.147973,192.147973,192.147973,192.147973,200.447973,200.447973,200.447973,200.447973,192.147973,187.247973,TXF,188.51463966666665
2013-01-14,182.47863,182.47863,182.47863,182.47863,182.47863,182.47863,184.47863,197.27863,185.47863,188.47863,197.27863,200.47863,197.27863,197.27863,197.27863,197.27863,197.27863,197.27863,200.92863,202.47863,200.92863,200.47863,188.47863,185.47863,TXF,192.1161299999999
2013-01-15,183.596998,183.596998,183.596998,183.596998,183.596998,183.596998,192.396998,192.396998,198.196998,198.196998,198.396998,199.396998,199.396998,198.396998,199.396998,199.396998,198.396998,198.396998,200.296998,200.296998,199.396998,198.396998,196.396998,192.396998,TXF,194.21366466666674
2013-01-16,191.894241,183.394241,183.394241,183.394241,183.394241,191.894241,183.394241,191.894241,191.894241,191.894241,197.894241,198.394241,197.894241,197.894241,197.894241,197.894241,197.894241,194.894241,198.394241,198.394241,198.394241,194.894241,191.894241,183.394241,TXF,192.60257433333334
2013-01-17,185.421066,185.421066,170.421066,185.421066,185.421066,192.242066,185.421066,191.921066,191.921066,191.921066,192.421066,192.421066,192.421066,192.421066,192.421066,192.421066,192.242066,191.921066,192.921066,192.921066,192.421066,191.921066,191.921066,185.421066,TXF,189.65614933333325
